algo,grid,n_rooms,seed,time_s,nodes_explored,backtracks,succeeded,error,rooms_built,connected,has_key,solvable,start_boss_dist,branching,dead_end_ratio,n_start,n_normal,n_treasure,n_boss,n_trap,n_merchant
CSP,5,10,19,0.0003361550000136049,11,0,1,,10,1,1,1,3,2.6,0.1,1,6,1,1,0,1
CSP,5,10,20,0.0003980599999522383,11,0,1,,10,1,1,1,3,2.6,0.1,1,5,1,1,1,1
CSP,5,10,21,0.0003286010000920214,11,0,1,,10,1,1,1,3,2.6,0.1,1,4,1,1,2,1
CSP,5,10,22,0.0003454819999433312,11,0,1,,10,1,1,1,2,2.6,0.1,1,3,2,1,2,1
CSP,5,10,23,0.0003313360000447574,11,0,1,,10,1,1,1,2,2.6,0.1,1,5,1,1,2,0
CSP,5,10,24,0.00033216799999991053,11,0,1,,10,1,1,1,2,2.6,0.1,1,5,1,1,2,0
CSP,5,10,25,0.0003558519999842247,11,0,1,,10,1,1,1,3,2.6,0.1,1,5,2,1,0,1
CSP,5,10,26,0.00037570899996808294,11,0,1,,10,1,1,1,2,2.6,0.1,1,4,1,1,2,1
CSP,5,10,27,0.00034886900004948984,11,0,1,,10,1,1,1,3,2.6,0.1,1,7,1,1,0,0
CSP,5,10,28,0.00032950299998901755,11,0,1,,10,1,1,1,3,2.6,0.1,1,5,2,1,0,1
CSP,5,10,29,0.0003572749999420921,11,0,1,,10,1,1,1,3,2.6,0.1,1,5,2,1,0,1
BFS,5,10,0,7.56809999984398e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,3,1,2,1,2
BFS,5,10,1,6.0232000009818876e-05,3,0,1,,10,1,0,0,2,1.8,0.7,1,4,0,2,3,0
BFS,5,10,2,6.240599998363905e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,3,3,2,0,1
BFS,5,10,3,6.085300003633165e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,3,1,2,2,1
BFS,5,10,4,6.278699993345072e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,5,1,2,1,0
BFS,5,10,5,6.299699998635333e-05,3,0,1,,10,1,0,0,2,1.8,0.7,1,4,0,2,2,1
BFS,5,10,6,6.092300009186147e-05,3,0,1,,10,1,0,0,2,1.8,0.7,1,5,0,2,2,0
BFS,5,10,7,5.4842000054122764e-05,3,0,1,,10,1,0,0,2,1.8,0.7,1,6,0,2,0,1
BFS,5,10,8,6.427000005260197e-05,3,0,1,,10,1,0,0,2,1.8,0.7,1,5,0,2,2,0
BFS,5,10,9,0.00010682899994662876,3,0,1,,10,1,1,1,2,1.8,0.7,1,5,1,2,0,1
BFS,5,10,10,7.65930000170556e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,2,1,2,3,1
BFS,5,10,11,5.861900001491449e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,3,1,2,2,1
BFS,5,10,12,6.784599997899932e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,4,2,2,0,1
BFS,5,10,13,6.755599997632089e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,6,1,2,0,0
BFS,5,10,14,6.25970000101006e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,5,2,2,0,0
BFS,5,10,15,6.557200003953767e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,6,1,2,0,0
BFS,5,10,16,9.015799992084794e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,5,1,2,1,0
BFS,5,10,17,6.986000005326787e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,5,1,2,0,1
BFS,5,10,18,6.451000001561624e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,3,2,2,2,0
BFS,5,10,19,6.410900004993891e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,4,2,2,0,1
BFS,5,10,20,5.669600000146602e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,3,3,2,1,0
BFS,5,10,21,6.499100004475622e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,4,1,2,2,0
BFS,5,10,22,6.302799999957642e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,4,2,2,1,0
BFS,5,10,23,6.377799991241773e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,3,2,2,1,1
BFS,5,10,24,6.019199997808755e-05,3,0,1,,10,1,0,0,2,1.8,0.7,1,6,0,2,1,0
BFS,5,10,25,6.49199999998018e-05,3,0,1,,10,1,0,0,2,1.8,0.7,1,5,0,2,1,1
BFS,5,10,26,8.03599999699145e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,4,2,2,0,1
BFS,5,10,27,6.427899995742337e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,4,2,2,1,0
BFS,5,10,28,6.5612000071269e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,5,1,2,0,1
BFS,5,10,29,8.296499993321049e-05,3,0,1,,10,1,1,1,2,1.8,0.7,1,2,3,2,1,1
DFS,5,10,0,8.715199999187462e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,3,2,1,1,2
DFS,5,10,1,8.77429999945889e-05,9,0,1,,10,1,1,1,8,1.8,0.3,1,5,1,1,2,0
DFS,5,10,2,0.00011497399998461333,9,0,1,,10,1,1,1,8,1.8,0.3,1,4,2,1,0,2
DFS,5,10,3,9.629900000618363e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,5,2,1,0,1
DFS,5,10,4,8.64710000314517e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,6,2,1,0,0
DFS,5,10,5,8.255399995960033e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,4,1,1,1,2
DFS,5,10,6,8.183199997802149e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,4,1,1,2,1
DFS,5,10,7,8.540900000753027e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,5,3,1,0,0
DFS,5,10,8,8.570900001814152e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,3,3,1,2,0
DFS,5,10,9,8.521799998106871e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,4,4,1,0,0
DFS,5,10,10,9.149999993951496e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,5,3,1,0,0
DFS,5,10,11,8.004900007563265e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,4,1,1,2,1
DFS,5,10,12,8.70819999363448e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,5,2,1,1,0
DFS,5,10,13,7.927700005438965e-05,9,0,1,,10,1,1,1,8,1.8,0.3,1,7,1,1,0,0
DFS,5,10,14,7.885699994858442e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,4,3,1,1,0
DFS,5,10,15,8.209300006001286e-05,9,0,1,,10,1,1,1,8,1.8,0.3,1,5,1,1,1,1
DFS,5,10,16,0.00012883900001270376,9,0,1,,10,1,0,0,9,1.8,0.2,1,8,0,1,0,0
DFS,5,10,17,9.732099999837374e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,7,1,1,0,0
DFS,5,10,18,7.787499998812564e-05,9,0,1,,10,1,1,1,8,1.8,0.3,1,4,2,1,1,1
DFS,5,10,19,8.239300007062411e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,4,2,1,0,2
DFS,5,10,20,8.8764999986779e-05,9,0,1,,10,1,1,1,6,1.8,0.3,1,3,4,1,1,0
DFS,5,10,21,9.345399996618653e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,3,2,1,1,2
DFS,5,10,22,8.106099994620308e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,5,2,1,1,0
DFS,5,10,23,8.126099999117287e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,6,2,1,0,0
DFS,5,10,24,9.204200000567653e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,6,1,1,0,1
DFS,5,10,25,8.093100007044995e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,4,1,1,0,3
DFS,5,10,26,8.130099990921735e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,7,1,1,0,0
DFS,5,10,27,8.365600001525308e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,5,3,1,0,0
DFS,5,10,28,8.482800001274882e-05,9,0,1,,10,1,1,1,9,1.8,0.2,1,5,1,1,1,1
DFS,5,10,29,8.847499998410058e-05,9,0,1,,10,1,1,1,8,1.8,0.3,1,5,1,1,0,2
Greedy,5,10,0,0.00030203100004655425,59,0,1,,10,1,1,1,4,2.0,0.3,1,5,1,1,1,1
Greedy,5,10,1,0.00031103799994980363,63,0,1,,10,1,1,1,3,1.8,0.4,1,2,3,1,2,1
Greedy,5,10,2,0.00027565300001697324,59,0,1,,10,1,1,1,6,1.8,0.3,1,3,1,1,1,3
Greedy,5,10,3,0.0002832669999861537,62,0,1,,10,1,1,1,5,1.8,0.4,1,5,2,1,0,1
Greedy,5,10,4,0.00025797000000693515,60,0,1,,10,1,1,1,6,1.8,0.3,1,5,2,1,1,0
Greedy,5,10,5,0.00026015399998868816,60,0,1,,10,1,1,1,4,2.0,0.3,1,5,1,1,1,1
Greedy,5,10,6,0.00026844900003197836,56,0,1,,10,1,0,0,1,2.0,0.2,1,5,0,1,1,2
